RNA36.Aligned.sorted	RNA66.Aligned.sorted	RNA32.Aligned.sorted	RNA74.Aligned.sorted	RNA88.Aligned.sorted	RNA21.Aligned.sorted	RNA85.Aligned.sorted	RNA28.Aligned.sorted	RNA43.Aligned.sorted	RNA23.Aligned.sorted	RNA41.Aligned.sorted	RNA81.Aligned.sorted	RNA5.Aligned.sorted	RNA59.Aligned.sorted	RNA62.Aligned.sorted	RNA18.Aligned.sorted	RNA47.Aligned.sorted	RNA63.Aligned.sorted	RNA91.Aligned.sorted	RNA70.Aligned.sorted	RNA57.Aligned.sorted	RNA9.Aligned.sorted	RNA38.Aligned.sorted	RNA14.Aligned.sorted	RNA78.Aligned.sorted
1:11012428:11013716:clu_1_+	-0.00845251791587668	-0.00911705805410103	-0.00800851747187624	0.0341160246526659	-0.00893681292071963	-0.00751499901428592	-0.000431127541545132	-0.00397921344257221	-0.00655857852193729	-0.00641082438482145	-0.00975770461432181	-0.00465346544425784	-0.00473109314182033	-0.0071739090423311	-0.0102243344417916	-0.00950302296638173	-0.00785330545225744	-0.00982655237814644	-0.00688050641009034	0.00587682199485858	-0.00592726539062416	-0.00876368647349074	-0.00755064201400078	-0.00297670717690805	-0.00996945406178809
1:11012743:11013716:clu_1_+	0.00845251791587676	0.00911705805410112	0.00800851747187636	-0.0341160246526658	0.00893681292071968	0.00751499901428598	0.000431127541545284	0.00397921344257235	0.00655857852193742	0.00641082438482155	0.0097577046143219	0.00465346544425793	0.00473109314182041	0.00717390904233117	0.0102243344417917	0.00950302296638184	0.0078533054522576	0.00982655237814656	0.00688050641009041	-0.00587682199485851	0.00592726539062427	0.00876368647349079	0.00755064201400091	0.00297670717690812	0.00996945406178817
1:11013965:11015524:clu_2_+	-0.00141576035820399	-0.00151017994597665	-0.00150816511683417	-0.000536275164681056	-0.000838755503459035	-0.00135629261826355	-0.00125917058048571	2.99602193680935e-05	-0.0013972260941417	-0.00159172126656679	-3.61975612283606e-07	-0.00163160280106952	-0.00135876094957286	-0.000225916959586008	-0.00134884083132505	-0.00167705520671925	-0.0014111689794359	-0.00141804564416182	-0.00178183067146302	-0.00153779907814407	0.000404713671044622	-0.00173387653206171	-0.00165310945820708	-0.00157360611215321	-0.0014730155865973
1:11013965:11016123:clu_2_+	-0.00151706975869944	-0.00161148934647211	-0.00160947451732962	0.000558587683627319	-0.00198499698336933	0.00011472502526615	-0.00136047998098116	-0.00155063912195576	0.00309564520980389	-0.00169303066706224	-0.00156580021944595	-0.00173291220156497	-0.00146007035006831	-0.00167857771143281	-0.0014501502318205	-0.0017783646072147	4.97230292144987e-06	-0.00151935504465728	-0.00188314007195848	-0.00163910847863952	-0.0013632623961175	-0.00183518593255716	-0.0004789086546209	-0.000319901962513162	-0.00157432498709275
1:11013965:11016844:clu_2_+	0.0583805642710158	-0.0279296684518091	-0.0276697554924281	-0.0972720282197008	-0.0865614744056987	-0.0238014736170707	0.0361700722507803	-0.0866480368264786	-0.0286725572465698	0.134011394240192	0.0745967325948872	0.0718412838897202	-0.0209554876174459	-0.0622597432074158	-0.0181753744784973	0.0681904817359255	0.0789246885688218	0.039846895152999	0.0127154613549447	-0.0175843306599587	0.0224249414772689	-0.00899680284770124	-0.0170308408356563	0.0221539387672418	0.0540115499197726
1:11013965:11018733:clu_2_+	0.000757486977117405	-0.00113305067805797	0.00739773591123926	-0.00561063729450237	-0.00367201330506168	0.0041994797648699	-0.00513736046150319	-0.00236893972082099	0.00697573257001693	0.0132466663925227	-0.00241442301329155	0.00227230848522818	-0.000527374692442773	0.00265264991615326	0.0026718634424758	-0.000548987265458887	-0.000737006811894966	-0.00529623552517931	-0.00566002055248051	-0.00402516837501691	0.00152652379002714	-0.00561206641307919	-0.00170476872697967	-0.00545179599317069	0.00338241898653369
1:11015646:11016844:clu_2_+	-0.00130215335797002	-0.00139657294574269	-0.0013945581166002	-0.00161884041325092	-0.0017700805826399	-0.00124268561802959	-0.00114556358025174	-0.00133572272122634	-0.00128361909390773	-0.00147811426633282	0.000113245024621685	-0.00151799580083555	-0.00124515394933889	-0.00146366131070339	-0.00123523383109108	-0.00156344820648528	0.0062896914350621	-0.00130443864392785	-0.00166822367122905	-0.0014241920779101	-0.00114834599538808	-0.00162026953182774	-0.00153950245797311	-0.00145999911191924	-0.00135940858636333
1:11016254:11016844:clu_2_+	-0.00163193490618862	-0.00172635449396128	-0.00172433966481879	0.000443722536138143	-0.0020998621308585	-1.40122223025573e-07	0.00019410395333267	-0.000186214328616536	-0.00161340064212633	-0.00180789581455142	-0.000216536523596913	-0.00184777734905414	-0.00157493549755748	-0.000442091507570637	-0.00156501537930968	-0.000641665299134416	-0.00162734352742053	-0.00163422019214645	-0.00199800521944765	-0.00175397362612869	-0.00147812754360667	-0.00195005108004634	-0.00186928400619171	-0.00178978066013784	0.00267762209249231
1:11017007:11018374:clu_2_+	0.00151806366618478	-0.00160207452975733	-0.00160005970061484	-0.00182434199726555	-0.00197558216665454	-0.00144818720204422	-0.00135106516426638	-6.19343644125774e-05	-0.00148912067792237	-0.00168361585034746	-0.00155638540273117	-0.00172349738485019	0.000119203179362329	-0.00166916289471803	0.000139043415857948	-0.000517385334930458	-0.00150306356321657	6.33790184394363e-07	-0.00187372525524369	-0.00162969366192474	-0.00135384757940272	-0.00182577111584238	-0.00174500404198775	-0.000310487145798379	-0.00156491017037797
1:11017007:11018380:clu_2_+	-0.00160185402574389	-0.00169627361351655	-0.00169425878437406	0.0399474876271092	-0.00206978125041377	-0.00154238628580345	-0.0014452642480256	-0.00163542338900021	-0.00158331976168159	-0.00177781493410668	-0.00165058448649039	-0.00181769646860941	-0.00154485461711275	-0.00176336197847726	-0.00153493449886494	-0.00186314887425915	-0.0015972626469758	-0.00160413931170172	-0.00196792433900292	-0.00172389274568396	-0.00144804666316194	-0.00191997019960161	0.00453834789466119	-0.00175969977969311	-0.0016591092541372
1:11017007:11018733:clu_2_+	-0.0344671975688437	0.0561434181970816	0.035259714135186	-0.00249447246768478	-0.0212482534719195	0.0680195054445056	-0.0797923612935588	0.135490012682792	0.00329404867507188	-0.0853118099289851	-0.06164107449785	-0.0471763930455709	0.0628236680384257	-0.0633505438500719	0.00945591189477241	0.0323636935412618	0.0799706225363448	0.0362166971068971	0.0277664906155864	0.0183545270065983	-0.0767289222284503	-0.0123382412248661	-0.0261676977386544	0.0116586116468884	0.0464806847584492
1:11017007:11020429:clu_2_+	-0.00181319375510749	-0.00190761334288015	-0.00190559851373766	0.0481093536393724	0.00921313189378585	-0.00175372601516705	-0.0016566039773892	-0.0018467631183638	-0.00179465949104519	-0.00198915466347028	-0.00186192421585399	0.000564997524465381	-0.00175619434647635	-0.00197470170784086	-0.00174627422822854	-0.00207448860362274	-0.0018086023763394	-0.00181547904106532	-0.00217926406836652	-0.00193523247504756	-0.00165938639252554	-0.00213130992896521	-0.00205054285511057	-0.00197103950905671	-0.00187044898350079
