RNA79.Aligned.sorted	RNA1.Aligned.sorted	RNA53.Aligned.sorted	RNA82.Aligned.sorted	RNA24.Aligned.sorted	RNA75.Aligned.sorted	RNA6.Aligned.sorted	RNA54.Aligned.sorted	RNA65.Aligned.sorted	RNA26.Aligned.sorted	RNA56.Aligned.sorted	RNA61.Aligned.sorted	RNA100.Aligned.sorted	RNA33.Aligned.sorted	RNA15.Aligned.sorted	RNA71.Aligned.sorted	RNA10.Aligned.sorted	RNA19.Aligned.sorted	RNA2.Aligned.sorted	RNA58.Aligned.sorted	RNA37.Aligned.sorted	RNA51.Aligned.sorted
1:11012428:11013716:clu_1_+	1	0.911148841861179	1	1	1	0.951890763734859	1	0.931098305693307	1	1	1	0.365736130119808	0.940232381761385	1	0.966245717761546	1	0.905597862676656	1	0.906825270686976	0.682831518582876	1	1
1:11012743:11013716:clu_1_+	0.917120657988818	0.572921740136571	0.740293700728963	0.736674129801617	0.280137046605205	0.621239603328223	1	0.596387421359047	0.747606919588448	0.972606923213112	1	0.560937940828072	0.607255784104777	1	0.638628007137201	1	1	0.856802249746505	0.567885798852135	1	1	1
1:11013012:11013716:clu_1_+	1	0.927578966206225	1	1	0.10387957535788	0.968164164596834	1	0.947456842437697	1	1	1	1	0.956554830899401	1	0.982454166180736	1	1	1	0.923269589946299	1	1	1
1:11013965:11015524:clu_2_+	0.980900881466199	0.934363394404941	1	1	0.758407320283064	0.946145508372884	1	1	1	1	1	1	1	0.947405695865754	0.930712551592573	0.976142705681536	1	1	1	1	0.591224402406676	0.457900598584231
1:11013965:11016123:clu_2_+	0.823013826624451	1	1	1	0.928167137200907	0.88519376673164	0.777938976394644	1	1	1	0.992107384482926	1	0.645878010785802	0.886470320586942	0.869572739150006	0.915621462426797	1	0.988656875235135	1	1	0.91288406617638	1
1:11013965:11016844:clu_2_+	0.87754059775626	0.250534460971406	0.106415405471335	0.00470188466983097	0.380610685894285	0.651906548870726	0.105626344103102	0.127028748351284	1	0.000305240726487929	0.744233342184041	0.0339015924285662	0.885347940311228	0.12888984336646	0.986052595025285	0.558789688378113	0.842682100691013	0.0795177141816231	0.0937864489918501	0.370200691691979	0.345431378343746	0.764199157433319
1:11013965:11018733:clu_2_+	1	0.918298518962136	0.558099574045588	0.553368598311341	0.836319125340374	0.748793088847874	0.55851520860232	0.676883663232491	0.357889449648561	0.53980843954321	0.592695900044522	0.563745936875167	0.684198484350307	0.618633082074695	0.472637047070131	0.575813573934043	1	1	0.633847114381886	0.172664777309154	0.858961363000701	0.642257527728794
1:11015646:11016844:clu_2_+	0.855977186267649	0.15357334883569	1	0.89190021654085	0.52751727529402	0.82040605711574	0.897293794000852	1	0.444667483685093	0.877599077064819	0.92864808800405	0.634083700965779	1	0.821691531794784	0.804689875222054	0.851092900955465	1	0.948244110907636	0.97422458483991	0.253622926934129	0.8483282426533	0.982593335234232
1:11016254:11016844:clu_2_+	0.852196746349886	1	0.93609192860401	1	1	0.816615150834686	1	1	0.59440416814125	0.873828788649806	1	0.899001594139052	1	0.927858085267483	0.800896872532394	0.847310560804141	1	0.784986347201307	0.970533128929301	1	1	1
1:11017007:11018374:clu_2_+	0.559077164677005	0.789077276217427	1	1	1	0.976910798944219	1	1	1	1	1	1	1	0.978159917373118	0.961607527080453	1	1	1	1	1	1	1
