RNA84.Aligned.sorted	RNA16.Aligned.sorted	RNA64.Aligned.sorted	RNA77.Aligned.sorted	RNA34.Aligned.sorted	RNA76.Aligned.sorted	RNA13.Aligned.sorted	RNA92.Aligned.sorted	RNA35.Aligned.sorted	RNA68.Aligned.sorted	RNA83.Aligned.sorted	RNA30.Aligned.sorted	RNA80.Aligned.sorted	RNA17.Aligned.sorted	RNA87.Aligned.sorted	RNA44.Aligned.sorted	RNA27.Aligned.sorted	RNA4.Aligned.sorted	RNA42.Aligned.sorted	RNA8.Aligned.sorted	RNA99.Aligned.sorted	RNA73.Aligned.sorted	RNA52.Aligned.sorted	RNA60.Aligned.sorted	RNA7.Aligned.sorted	RNA40.Aligned.sorted	RNA90.Aligned.sorted	RNA55.Aligned.sorted	RNA3.Aligned.sorted	RNA39.Aligned.sorted	RNA31.Aligned.sorted	RNA22.Aligned.sorted	RNA12.Aligned.sorted
1:11012428:11013716:clu_1_+	0.916745711541032	1	1	1	1	0.986657223695231	1	0.837340483690372	1	1	1	1	1	0.938951714622339	1	1	0.578363312530819	1	1	1	0.500901911525376	1	1	1	1	0.523326540806397	1	0.784366737337174	1	1	1	1	1
1:11012743:11013716:clu_1_+	0.916745711541026	1	1	1	1	0.986657223695224	1	0.837340483690365	1	1	1	1	1	0.938951714622332	1	1	0.578363312530825	1	1	1	0.50090191152538	1	1	1	1	0.523326540806399	1	0.784366737337167	1	1	1	1	1
1:11013965:11015524:clu_2_+	0.967358809401981	0.515235670407112	1	1	1	1	1	1	1	1	0.941307279296799	1	1	1	0.890604670731543	0.670681534832884	1	1	1	1	1	1	1	0.886868578206929	1	1	1	0.996466561423758	1	0.981949978958872	1	1	1
1:11013965:11016123:clu_2_+	0.871724946701293	0.967830656362368	0.969435770843155	0.835657113666772	1	1	0.972295892603315	0.951130463688328	1	0.973794566176238	1	0.997702932409739	1	1	0.793798026955729	0.987518808856095	0.927599007334336	0.986745011268027	0.979841286156513	1	1	0.929615107990594	0.961218122375384	0.790028462499123	0.961706393087683	0.828341361865329	1	0.901513464970572	0.966873550977878	0.86533498069699	0.707291178167988	1	1
1:11013965:11016128:clu_2_+	0.977616263404105	1	1	0.982182886472216	1	1	1	1	1	1	1	0.651858086736064	1	1	0.901057161341492	1	1	1	1	1	1	1	1	0.897328180071898	1	1	0.757545940329094	1	1	0.992160079843614	1	1	1
1:11013965:11016844:clu_2_+	0.0246900660939564	0.368843063109779	0.0463373771322036	0.372171149236851	0.635066352375219	0.540382122137847	0.16390934774699	0.387022102429295	0.118811264787382	0.730997943182305	0.385169710498197	0.00632651978225729	0.486989981140977	0.632736394607547	0.0014544422328755	0.931817909558955	0.0875800265009546	0.0032973713056319	0.840366268832436	0.235108463031549	0.108119400324829	0.0540311964936178	0.00466496197263866	0.204642105624301	0.202563882317006	0.61121745711935	0.64472397092858	0.00700090204648944	0.182717391308585	0.349082243104775	0.744056349953221	0.191391309851564	0.0414090911743152
1:11013965:11018733:clu_2_+	1	0.912617514863527	0.806613975977845	0.400739135116749	1	0.959874451284534	0.469116524070889	0.636001708501603	0.441651519717786	0.601334710133478	0.462993385757588	1	0.538676094730201	0.630432804923408	0.66807632015543	0.483221558154995	0.833622064997549	0.47178314924916	0.883863420415542	0.467444429406715	0.960339890080647	1	0.903105733282719	0.316517156175511	0.794961570876386	0.421914902835936	0.934906284088266	1	0.992981563521867	1	0.806613975977845	0.792350587305889	0.532659550807614
1:11015646:11016844:clu_2_+	0.919365614930787	1	1	0.472149616591846	1	0.0536734072025291	1	0.99786810005903	0.988837468902557	1	1	1	1	1	0.841875190944872	0.398327078044249	1	1	1	1	0.977309564864105	0.976641134727391	1	0.838114807557616	1	0.966740363728055	1	0.94886768493638	1	0.934146711726568	0.924031516799162	1	1
1:11016254:11016844:clu_2_+	0.79967587090699	0.896871807640149	0.960874874142152	0.841331174573881	0.715029966657164	1	1	0.879906586100586	1	0.90293788495928	0.894619393822967	0.927295161864555	0.975942849840611	0.562111012212097	0.721669786069633	0.819263503861449	0.996207169388422	0.820141329489137	0.909092206652009	0.919286191791945	1	0.858096000641766	0.849218048456066	0.71791557955656	0.968790063026318	0.847952219598472	0.641506952328996	0.724343252061982	0.963497983449698	0.814691487388969	0.57534118265057	0.970567821551849	0.586510481483212
1:11017007:11018374:clu_2_+	0.949108145118349	1	1	0.989678549322969	1	0.871434134199474	0.952469508066802	1	1	1	0.708778227930736	1	1	0.884268341522879	0.87203957190843	1	1	1	1	1	1	1	1	0.868292489201736	0.888471001191968	0.99609163762329	1	0.978378074053393	1	1	1	1	1
