RNA79.Aligned.sorted	RNA1.Aligned.sorted	RNA53.Aligned.sorted	RNA82.Aligned.sorted	RNA24.Aligned.sorted	RNA75.Aligned.sorted	RNA6.Aligned.sorted	RNA54.Aligned.sorted	RNA65.Aligned.sorted	RNA26.Aligned.sorted	RNA56.Aligned.sorted	RNA61.Aligned.sorted	RNA100.Aligned.sorted	RNA33.Aligned.sorted	RNA15.Aligned.sorted	RNA71.Aligned.sorted	RNA10.Aligned.sorted	RNA19.Aligned.sorted	RNA2.Aligned.sorted	RNA58.Aligned.sorted	RNA37.Aligned.sorted	RNA51.Aligned.sorted
1:11012428:11013716:clu_1_+	-0.00439555018235178	-0.00651216011514396	-0.00554866771797488	-0.00557060620246437	-0.00579905895428161	-0.00624350339872605	-0.00334695167458812	-0.00638249953772219	-0.00550416690583505	-0.00399350339872605	-0.0033941883302329	0.013193996601274	-0.00632193477127507	-0.00106919147212054	-0.00614514274298834	-0.00260991561246651	-9.12191347666597e-05	-0.0048087207900304	-0.00653979969502235	0.00314935374413109	-0.00320124987759929	-0.00289056222225546
1:11012743:11013716:clu_1_+	0.0085920816049625	0.0128253014705468	0.0108983166762087	0.0109421936451877	-0.019712011962289	0.012287988037711	0.00649488458943515	0.0125659803157033	0.0108093150519291	0.00778798803771108	0.00658935790072468	-0.010962011962289	0.0124448507828091	0.00193936418450003	0.0120912667262356	0.00502081246519193	0.0050595616417719	0.00941842282031968	0.0128805806303036	0.00243084518056813	0.00620348099545753	0.00558210568476991
1:11013012:11013716:clu_1_+	-0.00419653142261067	-0.00631314135540285	-0.00534964895823377	-0.00537158744272326	0.0255110709165706	-0.00604448463898494	-0.00314793291484701	-0.00618348077798108	-0.00530514814609395	-0.00379448463898494	-0.00319516957049179	-0.00223198463898494	-0.00612291601153396	-0.000870172712379436	-0.00594612398324724	-0.0024108968527254	-0.00496834250700525	-0.00460970203028929	-0.00634078093528124	-0.00558019892469923	-0.00300223111785818	-0.00269154346251435
1:11013965:11015524:clu_2_+	-0.00253030150528626	-0.00265074715418719	-0.0018813070393897	-0.00243393624555239	0.000241232399873973	-0.00262109255226121	-0.00241903939559772	-0.00205716149052231	-0.00229295836752367	-0.00247288567689069	-0.00233010510207806	-0.00240383357394028	-0.00203346320356991	-0.00261788793248133	-0.00265982485934333	-0.00254303317622713	-0.0020126558793918	-0.00227241182961531	-0.0021932676780952	-0.00229548993618488	0.00145513888316302	0.00298753717825521
1:11013965:11016123:clu_2_+	-0.000124802114823173	-0.00172070696276054	-0.00218583474919761	-0.00128708514549093	-0.00281432694679777	-0.00292562026206912	0.000208984214242464	-0.00236168920033023	-0.00259748607733159	-0.00136498400816753	-0.00263463281188598	-0.00122687980226671	0.00136571279032588	-0.00292241564228925	-0.00296435256915125	-0.00284756088603505	-0.00231718358919971	-0.000964036313616774	-0.00249779538790311	-0.00260001764599279	-0.00285472928058348	-0.00247162970681043
1:11013965:11016844:clu_2_+	0.00498820366874494	0.040218555972268	0.0610379725832678	-0.0909699620087028	-0.031231849040723	0.0152852788266014	0.0586284614789477	0.0567735021433019	-0.000298075308694495	-0.111853007116244	0.0112743707294825	0.0779963337500457	0.0050333707870828	0.0539490164707893	0.000185876233705889	0.0201588989998594	-0.00909480232985435	-0.0601398669668001	0.0619331639812923	-0.0324717814239518	-0.033286858654642	-0.0124733111525888
1:11013965:11018733:clu_2_+	-0.00136861486602137	-0.000615829560390536	0.00323137101359694	-0.005337290256694	8.89100255961842e-05	0.000796665952399962	-0.00532239340673933	-0.00496051550166392	0.00595018443662134	-0.0053762396880323	0.00254259065349883	-0.00530718758508189	-0.00493681721471152	0.00208332079401964	-0.00556317887048494	0.00260730408779904	-0.00117069153847349	-0.00194995938914402	-0.00509662168923681	0.0106994072450423	-0.0001131016433324	-0.00507045600814413
1:11015646:11016844:clu_2_+	-0.00317790954076581	0.00904732382267894	-0.00252891507486925	-0.00308154428103193	0.00234465600125825	-0.00326870058774075	-0.00306664743107726	-0.00270476952600186	0.00342886034858914	-0.00312049371237024	-0.00297771313755761	0.00139300283502462	-0.00268107123904946	-0.00326549596796088	-0.00330743289482288	-0.00319064121170668	-0.00266026391487135	-0.00292001986509486	-0.00284087571357474	0.00659585274375688	-0.00319780960625512	-0.00281471003248207
1:11016254:11016844:clu_2_+	-0.00319866961162237	-0.00208454735928874	-0.000545667129693748	-0.00165092554201912	-0.00180265152489405	-0.00328946065859732	-0.00162113184210978	-0.00272552959685842	0.00181574358983448	-0.0031412537832268	-0.00144326325507047	-0.00307220168027639	-0.00270183130990602	-0.000751401792936583	-0.00332819296567944	-0.00321140128256324	-0.00268102398572791	0.00028502651566148	-0.00286163578443131	-0.00137403292328411	-0.00188345619246549	-0.00111725704491939
1:11017007:11018374:clu_2_+	0.00168250283388293	-3.38476629553703e-05	-0.00173354335062701	-0.0022861725567897	-0.00236203554822716	-0.00247332886349852	-0.00227127570683503	-0.00190939780175962	-0.00214519467876098	-0.002325121988128	-0.00218234141331537	-0.00225606988517759	-0.00188569951480722	-0.00247012424371864	-0.00251206117058064	-0.00239526948746444	-0.00186489219062911	-0.00212464814085262	-0.00204550398933251	-0.00214772624742219	-0.00240243788201288	-0.00201933830823983
1:11017007:11018380:clu_2_+	-0.00252278247357213	-0.00264322812247306	-0.00187378800767556	-0.00242641721383825	-0.00250228020527572	0.0391057690837513	-0.00241152036388358	-0.00204964245880818	-0.00228543933580954	-0.00246536664517655	-0.00232258607036393	-0.00239631454222615	-0.00202594417185578	-0.0026103689007672	-0.0026523058276292	-0.002535514144513	-0.00200513684767766	-0.00226489279790118	-0.00218574864638106	-0.00228797090447074	-0.00254268253906143	-0.00215958296528838
1:11017007:11018733:clu_2_+	0.0476577128958145	-0.0228933259479073	-0.0334774571733211	-0.0102932076874117	0.0935772023520571	-0.0336345349192048	0.0259933906807449	0.0874188143459515	-0.0624781336855812	0.0875272641336998	-0.0701947486770128	-0.0347451777997591	-0.00437480742938878	-0.0723511487897605	-0.0234107551418071	-0.0666417723809175	0.118346790573108	0.0529728628215073	0.0361779280472046	-0.0564327477226232	-0.0342961840797374	0.09402152704942
1:11017007:11020429:clu_2_+	-0.00327730946318039	-0.00339775511208132	-0.00262831499728383	-0.00318094420344651	-0.00325680719488398	0.0509934671257486	-0.00316604735349184	-0.00280416944841644	-0.0030399663254178	0.0109044001505259	-0.00307711305997219	-0.00315084153183441	-0.00278047116146404	-0.00336489589037546	-0.00340683281723746	0.0208710326913821	-0.00275966383728593	-0.00301941978750944	-0.00294027563598932	-0.00304249789407901	-0.00329720952866969	-0.00291410995489665
1:11018466:11018733:clu_2_+	0.000120646523594949	-0.00406483977571249	-0.00329539966091499	-0.000945271247338929	-0.00392389185851514	-0.000242517664304831	-0.00383313201712301	-0.0034712541120476	-0.00370705098904897	0.0116497448654258	0.00403185204311515	-0.00381792619546558	0.00766355528601591	0.0010377279377551	-0.00407391748086863	-0.00395712579775243	-0.00342674850091709	-0.000460697999527701	0.0014687818323592	-0.00370958255771017	-0.00396429419230086	-0.00358119461852781
1:11018873:11020429:clu_2_+	-0.0079259939075324	0.0170664782394113	0.0220146461802312	0.0763759086180241	-0.0220762867172005	-0.0219215194506513	-0.0111367005014019	-0.0772075642369469	0.0511940240442395	0.0590208620017046	0.0425066410564533	-0.12120512669886	-0.0212051266988603	0.0623183207029141	0.0211968340854534	-0.0196391311731333	-0.0616545649011075	0.0503002496452257	-0.09379395918617	0.0586570884574725	0.115287975214802	-0.024297910204015
1:11018873:11020434:clu_2_+	-0.00229643609185388	-0.00241688174075481	-0.00164744162595732	-0.00220007083212	-0.00227593382355747	0.0026696628738134	-0.00218517398216533	-0.00182329607708993	-0.00205909295409129	-0.00223902026345831	-0.00209623968864568	-0.0021699681605079	-0.00179959779013753	-0.00238402251904895	-0.00242595944591095	-0.00230916776279475	-0.00177879046595942	-0.00203854641618293	-0.00195940226466282	-0.0020616245227525	-0.00231633615734319	-0.00193323658357014
