RNA36.Aligned.sorted	RNA66.Aligned.sorted	RNA32.Aligned.sorted	RNA74.Aligned.sorted	RNA88.Aligned.sorted	RNA21.Aligned.sorted	RNA85.Aligned.sorted	RNA28.Aligned.sorted	RNA43.Aligned.sorted	RNA23.Aligned.sorted	RNA41.Aligned.sorted	RNA81.Aligned.sorted	RNA5.Aligned.sorted	RNA59.Aligned.sorted	RNA62.Aligned.sorted	RNA18.Aligned.sorted	RNA47.Aligned.sorted	RNA63.Aligned.sorted	RNA91.Aligned.sorted	RNA70.Aligned.sorted	RNA57.Aligned.sorted	RNA9.Aligned.sorted	RNA38.Aligned.sorted	RNA14.Aligned.sorted	RNA78.Aligned.sorted
1:11012428:11013716:clu_1_+	0.990539595862538	0.916996952593335	1	0.122724552002891	0.937776198697573	1	0.871126909312878	1	1	1	0.837509340741783	1	1	1	0.77335423794305	0.870217197616285	1	0.82839883181003	1	0.558646546089245	1	0.957136132697429	1	1	0.809106781428274
1:11012743:11013716:clu_1_+	0.990539595862536	0.916996952593332	1	0.122724552002896	0.937776198697575	1	0.871126909312881	1	1	1	0.837509340741782	1	1	1	0.773354237943048	0.870217197616284	1	0.828398831810026	1	0.558646546089251	1	0.957136132697424	1	1	0.809106781428272
1:11013965:11015524:clu_2_+	1	1	1	1	1	1	1	0.878792815161738	1	1	0.884829646535648	1	1	0.931763654626254	1	1	1	1	0.972958068868439	1	0.809033506352936	0.996571626596217	1	1	1
1:11013965:11016123:clu_2_+	1	1	1	0.738782184103036	0.891587245225871	0.868985366372691	1	1	0.389706436009991	1	1	1	1	1	1	0.995939163080512	0.890088763405015	1	0.944955239083197	1	1	0.96875924204778	0.992926673853672	0.957255124474778	1
1:11013965:11016844:clu_2_+	0.0430631522649088	0.315746520280018	0.320791137269343	3.98720973856688e-05	0.000248437084785178	0.409309086522812	0.21057641125695	0.000548621393228102	0.309434714385079	6.46467802378758e-06	0.010196861714675	0.0115125288131777	0.472884477949785	0.0154194757251443	0.540247170873673	0.01562186023616	0.00705939136328526	0.161222019603601	0.629983062164934	0.543626945228805	0.432886712988657	0.769250869767556	0.550640706253285	0.420171122929106	0.0587365763100256
1:11013965:11018733:clu_2_+	0.819483836009797	1	0.228383985910874	0.303469966634943	0.636474754191394	0.444556212696038	0.47534111247589	0.93254360067157	0.255899765978013	0.0621699692238413	0.923222669253122	0.613615201520319	1	0.575701311639803	0.590274245452013	1	1	0.418390989845303	0.285406165518128	0.629349609121014	0.728546579009706	0.302946517830334	1	0.361711131242593	0.509473864467553
1:11015646:11016844:clu_2_+	1	1	1	1	0.952545541128027	1	1	1	1	1	0.854593581353746	1	1	1	1	1	0.155177545900583	1	1	1	1	1	1	1	1
1:11016254:11016844:clu_2_+	1	1	1	0.767245855844656	0.860291937760662	0.897905218501007	0.861776929907013	0.934665254648964	1	1	0.940866751194952	0.986535978026056	1	0.988974831441335	1	1	1	1	0.913957398213378	1	1	0.937938594983645	0.976593970051821	1	0.437161750248508
1:11017007:11018374:clu_2_+	0.592555932536812	1	1	0.972015545766977	0.894191836094777	1	1	0.902781358167107	1	1	1	1	0.867524890494282	1	0.863788946753261	1	1	0.89036443670103	0.947531348873545	1	1	0.971319025167997	1	0.954759819171095	1
1:11017007:11018380:clu_2_+	1	1	1	1.09491693034425e-05	0.868401666946127	1	1	1	1	1	1	0.99442660863925	1	1	1	0.973294522830147	1	1	0.921998038629043	1	1	0.945936712898174	0.252902201413818	1	1
1:11017007:11018733:clu_2_+	0.237952324431805	0.0586156202708579	0.229092393060139	0.96340960297505	0.453112120725161	0.0253566435222257	0.00404647192054835	1.35117901520765e-05	0.912494888143328	0.00123823728820038	0.0263094018952655	0.088995629812816	0.0382925243251244	0.0202174886278599	0.749785008094725	0.25866011526547	0.00859828165410526	0.221985327029042	0.324268719145201	0.525454003578613	0.00589538338780876	0.686268617861728	0.364481385924468	0.684167541060485	0.116901481885825
1:11017007:11020429:clu_2_+	1	0.994294570118573	0.995161371930735	1.20418642191034e-06	0.0676548921465969	1	1	1	1	0.958277615689284	1	0.758362181744663	1	0.964797326253213	1	0.918536546876913	1	1	0.866659007420208	0.982301568358007	1	0.890840458155267	0.92990805034296	0.966439890131288	1
