RNA84.Aligned.sorted	RNA16.Aligned.sorted	RNA64.Aligned.sorted	RNA77.Aligned.sorted	RNA34.Aligned.sorted	RNA76.Aligned.sorted	RNA13.Aligned.sorted	RNA92.Aligned.sorted	RNA35.Aligned.sorted	RNA68.Aligned.sorted	RNA83.Aligned.sorted	RNA30.Aligned.sorted	RNA80.Aligned.sorted	RNA17.Aligned.sorted	RNA87.Aligned.sorted	RNA44.Aligned.sorted	RNA27.Aligned.sorted	RNA4.Aligned.sorted	RNA42.Aligned.sorted	RNA8.Aligned.sorted	RNA99.Aligned.sorted	RNA73.Aligned.sorted	RNA52.Aligned.sorted	RNA60.Aligned.sorted	RNA7.Aligned.sorted	RNA40.Aligned.sorted	RNA90.Aligned.sorted	RNA55.Aligned.sorted	RNA3.Aligned.sorted	RNA39.Aligned.sorted	RNA31.Aligned.sorted	RNA22.Aligned.sorted	RNA12.Aligned.sorted
1:11012428:11013716:clu_1_+	-0.00754582105627913	-0.00511644252520568	-0.00628860369736685	-0.00553310919187235	-0.00657477585853902	-0.00699842019665704	-0.00474085567074559	-0.00810663860363706	-0.0067326041413673	-0.00646396025570214	-0.00593515597549808	-0.00234914692772141	-0.00469091061031207	-0.00737782284826001	-0.00553310919187235	-0.00637770378646694	0.00639870898994583	-0.00528960269836586	-0.00443016801540176	-0.00649210390086706	0.00708481533642954	-0.00414952140561281	-0.00637770378646694	-0.00448383911887965	-0.00448383911887965	0.00821689080812765	-0.00533149628864654	-0.00844977585853902	-0.00483866474742791	-0.00688114840755862	-0.0019791876232449	-0.000288856318309131	-0.00365302789105934
1:11012743:11013716:clu_1_+	0.00754582105627921	0.00511644252520571	0.00628860369736695	0.00553310919187244	0.00657477585853905	0.00699842019665708	0.00474085567074567	0.00810663860363714	0.00673260414136734	0.00646396025570217	0.0059351559754981	0.00234914692772148	0.00469091061031213	0.00737782284826005	0.00553310919187244	0.00637770378646707	-0.00639870898994577	0.00528960269836598	0.00443016801540186	0.00649210390086707	-0.00708481533642946	0.00414952140561287	0.00637770378646707	0.00448383911887973	0.00448383911887973	-0.0082168908081276	0.0053314962886466	0.00844977585853912	0.004838664747428	0.00688114840755871	0.001979187623245	0.000288856318309216	0.00365302789105937
1:11013965:11015524:clu_2_+	-0.00248073476170691	0.00209247780862382	-0.0020451946920205	-0.00237754989138103	-0.00188230218653015	-0.00196472631054487	-0.00221772258009008	-0.00227651081271309	-0.00230134793848447	-0.00221348500466123	-0.000801770493072625	-0.00214449339493119	-0.00199897014950751	-0.00200731744136779	-0.00265906520319524	0.000819807011888757	-0.00191064757190141	-0.00217644264127129	-0.00219628469849578	-0.00216745155368686	-0.00233252286650706	-0.00233431255646117	-0.00224873584549747	-0.00266719488792607	-0.00202104593568145	-0.00236059496266803	-0.00163869062697985	-0.00240698844902254	-0.00203722402407852	-0.00244421708715242	-0.0020451946920205	-0.00201558181311025	-0.00207631462044466
1:11013965:11016123:clu_2_+	-0.0029457932613107	-0.00269534726158516	-0.000884236931461689	-0.000255286269380683	-0.00234736068613394	-0.00242978481014867	-0.00268278107969387	-0.00274156931231688	-0.00139654342438963	-0.00267854350426503	-0.00126682899267642	-0.00260955189453498	-0.00246402864911131	-0.00247237594097158	-0.00312412370279904	-0.00263926346376294	-0.000615142691223512	-0.00264150114087508	-0.00266134319809958	-0.00112875065479441	-0.00145889328043482	-0.00279937105606497	-0.00271379434510126	-0.00313225338752986	-0.000835939418783592	-0.000204421483241676	-0.00210374912658364	-0.00287204694862634	-0.000868295595577742	-0.000455287856694868	0.000741779328700913	-0.00248064031271404	-0.00254137312004846
1:11013965:11016128:clu_2_+	-0.00243309236168218	-0.00218264636195664	-0.00199755229199577	-0.00103624643055423	-0.00183465978650542	-0.00191708391052014	-0.00217008018006534	-0.00222886841268835	-0.00225370553845974	-0.0021658426046365	-0.00218884832260313	0.000956584119597358	-0.00195132774948278	-0.00195967504134306	-0.00261142280317051	-0.00212656256413442	-0.00186300517187668	-0.00212880024124656	-0.00214864229847105	-0.00211980915366213	-0.00228488046648233	-0.00228667015643644	-0.00220109344547273	-0.00261955248790134	-0.00197340353565672	-0.0023129525626433	0.000441472098248137	-0.00235934604899781	-0.00198958162405379	-0.00239657468712769	-0.00199755229199577	-0.00196793941308552	-0.00202867222041993
1:11013965:11016844:clu_2_+	-0.0719129065677719	0.0315007067161584	-0.0668896777640552	0.0308669246402612	-0.0185629619387574	-0.0230871305235658	0.0497509915496146	0.0301542382817998	-0.0525228217667282	-0.0135795732344385	0.0303843537997898	0.101905704846259	0.0246430736838606	0.0167270585696974	0.11525212138673	-0.00481139530458394	-0.0588512030131106	0.109952350745916	0.00664798681613038	-0.041399122106619	0.0572752747288432	-0.063426784846356	0.104993887444285	-0.0421223156326026	-0.0446969706884696	0.0172199025191657	-0.0185156940242178	-0.08500814466301	-0.046492738500545	0.0322574118663503	-0.0132311411786894	-0.0457460822221396	0.0751650155101502
1:11013965:11018733:clu_2_+	-0.00164720010412235	-0.00327681448589812	0.000530500244309706	0.0053370295515174	-0.00223285475954445	-0.000773642489950402	-0.00614609268441028	0.00216331991978679	-0.00622971804280467	0.00260450057614976	-0.00616486082694807	-0.00149271082749567	-0.00592734025382772	0.00238378000838854	-0.00456314380953974	-0.00610257506847935	-0.00407845429593992	0.00435856543079117	-0.000224949788066725	0.00443049413146662	-0.000906140628123116	-0.0022519874736156	-0.0033321557364464	-0.00659556499224627	0.000651244026004947	-0.00628896506698823	-0.0035345404060968	-0.00127846854070052	-0.001063633344085	-0.00146461173134993	0.000530500244309706	0.000678564638860936	0.00356469326566576
1:11015646:11016844:clu_2_+	-0.00270920077344388	-0.00245875477371834	-0.00227366070375747	0.00256862834009028	-0.00211076819826712	0.0148716540941004	-0.00244618859182704	-0.00250497682445005	-0.00252981395022144	-0.0024419510163982	-0.00246495673436483	-0.00237295940666816	-0.00222743616124448	-0.00223578345310476	-0.00288753121493221	0.00358535297619969	-0.00213911358363838	-0.00240490865300826	-0.00242475071023275	-0.00239591756542383	-0.00256098887824403	-0.00256277856819814	-0.00247720185723443	-0.00289566089966304	-0.00224951194741842	-0.002589060974405	-0.00186715663871682	-0.00263545446075951	-0.00226569003581549	-0.00267268309888939	-0.000647644443594864	-0.00224404782484722	-0.00230478063218163
1:11016254:11016844:clu_2_+	-0.00332477007960322	-0.00307432407987768	-0.00288923000991681	-0.00322158520927734	0.000851480026879447	-0.00110227698680296	-0.00160826952589336	-0.00312054613060939	-0.00177552024268215	-0.00305752032255754	-0.00308052604052417	-0.0029885287128275	-0.00284300546740382	0.00214032777318182	-0.00350310052109155	-2.42283060075512e-05	-0.000994119509516027	-3.09413373439813e-05	-0.00304032001639209	-0.00301148687158317	-0.00183787009872733	-0.00317834787435748	-0.000247820950022508	-0.00351123020582238	-0.00286508125357776	-0.00320463028056434	0.00158231470553035	0.000541643742562818	-0.00288125934197483	-0.00328825240504873	0.001988818770571	-0.00285961713100656	0.00186433905687434
1:11017007:11018374:clu_2_+	-0.00256651380163187	-0.00231606780190633	-0.00213097373194546	-0.00246332893130599	-0.00196808122645511	-0.000344020708831612	-0.000850013247922016	-0.00236228985263805	-0.00238712697840943	-0.0022992640445862	0.000547170696557648	-0.00223027243485615	-0.00208474918943248	-0.000429202970477447	-0.00274484424312021	-0.00225998400408411	-0.00199642661182637	-0.00226222168119625	-0.00228206373842075	-0.00225323059361182	-0.00241830190643203	-0.00242009159638614	-0.00233451488542243	-0.00275297392785103	-0.000456659959104762	-0.00244637400259299	-0.00172446966690481	-0.00249276748894751	-0.00212300306400349	-0.00130300226204671	-0.00213097373194546	-0.00210136085303521	-0.00216209366036963
