RNA45.Aligned.sorted	RNA97.Aligned.sorted	RNA29.Aligned.sorted	RNA46.Aligned.sorted	RNA49.Aligned.sorted	RNA93.Aligned.sorted	RNA89.Aligned.sorted	RNA48.Aligned.sorted	RNA72.Aligned.sorted	RNA50.Aligned.sorted	RNA98.Aligned.sorted	RNA86.Aligned.sorted	RNA94.Aligned.sorted	RNA95.Aligned.sorted	RNA67.Aligned.sorted	RNA69.Aligned.sorted	RNA20.Aligned.sorted	RNA11.Aligned.sorted	RNA96.Aligned.sorted	RNA25.Aligned.sorted
1:11012428:11013716:clu_1_+	-0.00859831567315158	0.00535517269894144	-0.0065380690678761	-0.00916784581078803	-0.00743552497547716	-0.00915111780811155	-0.00809483928859153	0.00419238200126702	-0.00745237701457389	-0.00407516653724375	-0.00903006918114883	-0.00801387636960842	-0.00477490219266282	-0.00673482048339323	-0.0082989834143443	-0.00790188488096156	-0.00722538207830709	-0.0082743540857398	-0.00662696190755787	-0.00595020839085656
1:11012743:11013716:clu_1_+	0.00859831567315161	-0.00535517269894148	0.00653806906787613	0.009167845810788	0.00743552497547717	0.00915111780811162	0.00809483928859156	-0.00419238200126704	0.00745237701457391	0.00407516653724382	0.0090300691811489	0.00801387636960849	0.00477490219266286	0.00673482048339324	0.00829898341434432	0.00790188488096155	0.00722538207830714	0.00827435408573984	0.00662696190755785	0.00595020839085658
1:11013965:11016123:clu_2_+	-0.00291701109842864	-0.00127233453621497	-0.000724595670719091	-0.0030196102776352	-0.00280281327984003	-0.00302334285350447	-0.00300638386410949	-0.00277988229192211	-0.0030196102776352	-0.0029039198085002	-0.00284438945717954	-0.00282996693496886	-0.00300828898889517	-0.00190312728403331	-0.00264239863564248	-0.00133881884591788	-0.00298507478954323	-0.000144317862718511	-0.00157069792527205	-0.00308040979123909
1:11013965:11016844:clu_2_+	0.0522303583131381	0.00256479115169411	-0.00881790714689204	-0.0210596553667524	-0.0285261439708182	0.0629979532092139	-0.010907438241948	-0.0226277843008206	0.00219615858673594	0.0397630865379592	0.0946958630335448	0.0072376883479558	-0.0139461122750972	0.00965637219695253	-0.0411712431651495	0.000992912115146738	-0.0316179215317592	-0.00885417450989207	-0.0547911826976324	-0.0126389227326135
1:11013965:11018733:clu_2_+	-0.005571415855373	-0.00695495992720734	0.00247641866304975	0.00243132012273917	-0.00217344811043033	-0.000327053444651551	-0.000225299508281679	-0.00368944120055931	-0.00714460326987369	-0.00406155375029358	-0.000796542943245188	-0.00383969512969955	-0.00713328198113365	0.000183059847951807	0.00195861186252044	-0.0069882020820588	0.00411012857165447	-0.00144045654095416	0.00416346401206693	-0.0032838341560266
1:11015646:11016844:clu_2_+	-0.00326407185075922	-0.00317702768729944	-0.00290315825455151	-0.00336667102996579	0.00477405623724302	-0.00337040360583506	-0.00335344461644008	-0.0031269430442527	-0.00336667102996579	0.00565109659050452	-0.00319145020951013	-0.00317702768729944	-0.00335534974122575	-0.00100795201151918	-0.00298945938797306	0.00746046186516617	-0.00333213554187382	-0.00332023292905192	-0.00332620938182799	-0.00342747054356968
1:11016254:11016844:clu_2_+	-0.00300085957639007	-0.0029138154129303	-0.00263994598018236	-0.000367480643421538	-0.00130187570391874	-0.00174293485124763	-0.00170901687245767	-0.00286373076988355	-0.00310345875559664	-0.00298776828646164	-0.00138502805859777	-0.0029138154129303	-0.00309213746685661	-0.00198697576199475	-0.00272624711360391	-0.00294705756778175	-0.00306892326750467	-0.00305702065468278	-0.00306299710745884	-0.00185706872671687
1:11017007:11018374:clu_2_+	-0.00270577469233581	-0.00261873052887603	-0.000513359264626262	-0.00280837387154237	-0.0025915768737472	-0.00144784996719336	-0.00279514745801666	-0.00256864588582928	-0.00280837387154237	-0.00120900387718482	-0.00263315305108671	-0.00261873052887603	-0.00141774223797475	-0.0029341269027852	-0.00243116222954965	-0.00265197268372749	-0.0027738383834504	-0.00276193577062851	-0.00276791222340457	-0.00286917338514626
1:11017007:11018380:clu_2_+	-0.00287078729478105	-0.00278374313132128	-0.00250987369857334	-0.00297338647398762	-0.00275658947619245	-0.00297711904985689	-0.00296016006046191	-0.00273365848827453	0.0585861210499522	-0.00285769600485262	-0.00279816565353196	-0.00278374313132128	-0.00296206518524758	-0.00309913950523045	-0.00259617483199489	-0.00281698528617273	-0.00293885098589565	-0.00292694837307376	-0.00293292482584982	-0.00303418598759151
1:11017007:11018733:clu_2_+	-0.0503208831218422	-0.00888786131498862	0.0262358934349344	0.0903083918439581	-0.0553921984942669	-0.0838815925352119	-0.0500446400279196	-0.0107710438935464	0.0410607858248062	-0.0485404676915751	0.00122232675470102	0.0160342570650737	0.0227825651540199	0.0527847069402696	0.13885887255006	0.0804717998049871	0.0133537311839081	-0.0593732169266513	-0.0108842634035324	-0.0254842818146526
