RNA45.Aligned.sorted	RNA97.Aligned.sorted	RNA29.Aligned.sorted	RNA46.Aligned.sorted	RNA49.Aligned.sorted	RNA93.Aligned.sorted	RNA89.Aligned.sorted	RNA48.Aligned.sorted	RNA72.Aligned.sorted	RNA50.Aligned.sorted	RNA98.Aligned.sorted	RNA86.Aligned.sorted	RNA94.Aligned.sorted	RNA95.Aligned.sorted	RNA67.Aligned.sorted	RNA69.Aligned.sorted	RNA20.Aligned.sorted	RNA11.Aligned.sorted	RNA96.Aligned.sorted	RNA25.Aligned.sorted
1:11012428:11013716:clu_1_+	0.970490062408291	0.585443993684652	1	0.904517384162312	1	0.906553627242803	1	0.648624760938218	0.966351432212209	1	0.921103490483319	1	1	1	1	1	1	1	1	1
1:11012743:11013716:clu_1_+	0.970490062408287	0.585443993684655	1	0.90451738416231	1	0.906553627242807	1	0.648624760938217	0.966351432212208	1	0.921103490483316	1	1	1	1	1	1	1	1	1
1:11013965:11016123:clu_2_+	0.993262925753456	0.979158335751432	0.900240105421294	0.95898969086437	1	0.957704605794065	0.963521190051802	1	0.95898969086437	0.99749553141737	1	1	0.962870601024049	1	1	0.989535859079096	0.970749898705662	0.788207907636965	1	0.937705202826014
1:11013965:11016844:clu_2_+	0.171071150538681	0.931403133185884	0.862661934991794	0.596162512945815	0.464799476737909	0.0999928154787286	0.807769452193925	0.574058182171849	0.936903463039419	0.290914014647314	0.0172655172139635	0.832944664231482	0.742710809586268	0.776439903171107	0.277847080494428	0.964688666800541	0.405068739766072	0.852968098252749	0.125789944320937	0.768589970533673
1:11013965:11018733:clu_2_+	0.673407153732086	0.479950896816916	0.639280044067815	0.622653005802982	1	0.864572005159896	0.855038982352771	0.932855864015849	0.423417217987381	0.876483273292125	0.920366266845124	0.910477614379047	0.426853961349678	0.809074591312332	0.675520773880067	0.470202071486438	0.508959973821271	0.985681200026619	0.505901876995216	0.956118986799377
1:11015646:11016844:clu_2_+	0.933247403216969	0.961346635479135	1	0.898424984520956	0.363956628032926	0.89712144302921	0.903022805488114	0.976953251664997	0.898424984520956	0.313656663854446	0.956777963473026	0.961346635479135	0.902362575953392	0.914366747314578	1	0.238308988953194	0.910361299500724	0.914423776203016	0.91238720691492	0.876854963070698
1:11016254:11016844:clu_2_+	0.978488225701677	1	1	0.819539604658695	0.985404949076136	1	1	1	0.944061487657732	0.982741590049511	0.998294421144448	1	0.947958464351349	1	1	0.995776238533777	0.955871420697376	0.959888670621182	0.957874913952519	1
1:11017007:11018374:clu_2_+	1	1	0.864027620429733	0.997443699398914	1	1	1	1	0.997443699398914	0.964558853746568	1	1	0.998722924299232	0.953045928657645	1	1	1	1	1	0.97640488084506
1:11017007:11018380:clu_2_+	1	1	1	0.967300608664063	1	0.96601863756578	0.971820964864661	1	9.69397914116765e-05	1	1	1	0.971171991176485	0.922511446055904	1	1	0.979031376072637	0.983020611170547	0.981020966342836	0.946065054655114
1:11017007:11018733:clu_2_+	0.193951379407213	0.859687730937459	0.512560009918833	0.0270119052830651	0.152619811467003	0.0212225221124066	0.193532622917403	0.82269476901104	0.297014212480922	0.212177482665805	0.965751465854362	0.677424152688283	0.554135347651764	0.180851830240748	0.00119213049480238	0.0496922266685547	0.723325823159489	0.117900277510408	0.815855389822068	0.531395628528149
1:11017007:11018739:clu_2_+	1	1	1	1	1	1	1	1	1	1	1	1	1	0.962480482994731	1	1	0.180452957883375	1	1	0.985772483312534
1:11017007:11020429:clu_2_+	0.805732901080687	0.116258953505268	0.917734594792434	0.770428487876442	0.843122644770247	0.769111900416567	0.281625682190922	0.850401790648249	1.02471427450013e-05	0.810118236207179	0.829733010096957	0.834406123906833	0.774407691911015	0.724753284770697	0.892536598958011	0.823589273676344	0.782501116331448	0.786616891629207	0.0974334904772289	0.748689565704614
